tag,filename,full,chunk,full_length,chunk_length,chunk_count,file_type,sha256,shannon_entropy
"20201218","./netronome/nic/nic_AMDA0058-0012_2x40.nffw","None","OCaml","3222512","16384","8","ELF 64-bit LSB relocatable, *unknown arch 0x6000* version 1 (SYSV), not stripped","edbbb907db37e103e63ec14e8b31c9d33e0359140864c94491915ca1f57df8ae","3.574877"
"20201218","./ene-ub6250/msp_rdwr.bin","None","8051","2048","64","1","data","33ca58808925d6b6325c928a6147d43bea07852aa3ac1e7bec99d69a38b6e41f","2.838737"
"20201218","./iwlwifi-7260-12.ucode","None","ARcompact","782300","172032","132","data","cd7283c2ca3830db8e4394df4f1ed5b474e17befc6fc50476cc6dcb505dde102","4.953571"
"20201218","./ene-ub6250/sd_init2.bin","None","8051","2048","512","2","data","285e2698e0478ff0861c5a0e20ab631debdba9c1571bcebd2f1356684b6573d3","5.052905"
"20201218","./ene-ub6250/ms_init.bin","None","8051","2048","512","2","data","01ddf4cb2fcd7386d801e90731b3fc20e708f9860aed9378edbe0171371f3d50","4.657104"
"20201218","./netronome/nic/nic_AMDA0099-0001_2x25.nffw","None","OCaml","3222648","20480","16","ELF 64-bit LSB relocatable, *unknown arch 0x6000* version 1 (SYSV), not stripped","19e3e5900413536fd6f3773c74ea8a95225fbe09ba4bfb9d8393e961d41919c3","3.575790"
"20201218","./ene-ub6250/sd_rdwr.bin","None","8051","2048","768","3","data","8bd609efbd2182d7ffe211fdfb1c0435d53e69ee2895238789efa09730994f92","4.202234"
"20201218","./ene-ub6250/ms_rdwr.bin","None","8051","2048","512","2","data","dc50d071a0b5d93ffb73565b67d670c64d05b0bda53820215c8b85207c67960e","6.494069"
"20201218","./ene-ub6250/sd_init1.bin","None","8051","2048","192","3","data","164c123e68ca03bfba01907c0a01d0c4c253ec8e0bbe05a9d8070567feef83c7","4.604527"
"20201218","./TDA7706_OM_v2.5.1_boot.txt","Stormy16","Stormy16","37028","10240","16","ASCII text, with very long lines (25695)","0596cd67edbf2d4c0f02c3f843bbd9778bcfdf0a89ce8d92d793c2a5af40ee98","3.259902"
"20201218","./netronome/nic/nic_AMDA0099-0001_2x10.nffw","None","OCaml","3221832","20480","16","ELF 64-bit LSB relocatable, *unknown arch 0x6000* version 1 (SYSV), not stripped","8c383e57ecea5566ba99061b1891f2e939bf9a11e590eb6f0c9f530759187bcd","3.574874"
"20201218","./netronome/nic/nic_AMDA0081-0001_1x40.nffw","None","OCaml","3181080","16384","8","ELF 64-bit LSB relocatable, *unknown arch 0x6000* version 1 (SYSV), not stripped","bc69047d51b9983326f736be78cb63bc49f64f665c571a7217e12487dc9ff7ce","3.603761"
"20201218","./i915/icl_dmc_ver1_07.bin","IA-64","IA-64","25716","1024","2","data","8f47c1bde7c442f2296480382755b5793f539f1348424c6b94267cea0fa7a43d","4.188003"
"20201218","./f2255usb.bin","None","TMS320C6x","181312","106496","82","data","65f51454ba6a1baeca4ff80965d973c51f5fa1bcf73e2f7d1073aed9e03d7981","5.005002"
"20201218","./i915/cml_guc_33.0.0.bin","X86","X86","182912","47104","35","data","080aeeba7b4b0786c7b2706286252da94da10068ccf21bf160fe34bc8ae3fdf6","5.747364"
"20201218","./i915/bxt_huc_ver01_8_2893.bin","X86","X86","146880","53248","38","data","ca28bba52c7b46de5233b289805246cacaeda2d822939bd5785a8193c15f2fd4","6.072595"
"20201218","./i915/bxt_dmc_ver1_07.bin","IA-64","OCaml","8380","128","2","data","b4036e7698130c7a59637e543f6c614495c7076666104a2079d011f0923455f5","3.344696"
"20201218","./i915/tgl_dmc_ver2_08.bin","IA-64","IA-64","18932","1024","2","data","7d8fdbbc08460841dafc81d3d6165daeb1eb83c9deab08d8af91f0f3cf131be8","3.960895"
"20201218","./i915/icl_huc_ver8_4_3238.bin","X86","X86","488960","51200","37","data","f5f92a8b5a6ce29067fff29f54934ffc60edb261379de3dd66e3f6b90e04a878","4.648363"
"20201218","./i915/skl_guc_33.0.0.bin","X86","X86","182080","47104","35","data","ab4eb929e2c117e9805e792648b8a47704dfde3d21093b5d6d2ec4c429222b3e","5.742612"
"20201218","./i915/kbl_guc_ver9_39.bin","X86","X86","147776","118784","88","data","957dcd143c348d9a47e0c36cb49970b278790caff62244dd6e354b200261ec74","5.931621"
"20201218","./netronome/nic/nic_AMDA0099-0001_1x10_1x25.nffw","None","OCaml","3222856","20480","16","ELF 64-bit LSB relocatable, *unknown arch 0x6000* version 1 (SYSV), not stripped","5bdef99d301815f3eccd27343468bb6e7d715005793b6b2a5bac8a502065c10c","3.575118"
"20201218","./i915/kbl_huc_ver02_00_1810.bin","X86","X86","218688","51200","37","data","9b5acebb9c989b87f48a14e8e7e8dac13c140c6dd72453ff4d3bc90a3f77e443","5.209696"
"20201218","./i915/glk_dmc_ver1_04.bin","IA-64","HP-Focus","8800","512","2","data","412d3a3ed68908b983ff16cfe496e969c9fd31f94283e0872d7e5413c7bee504","4.040117"
"20201218","./netronome/nic/nic_AMDA0058-0011_2x40.nffw","None","OCaml","3222512","16384","8","ELF 64-bit LSB relocatable, *unknown arch 0x6000* version 1 (SYSV), not stripped","9da7b7579a66af7f044513c14a8584ab40855e8d3113bfd6ae344de213624032","3.574877"
"20201218","./i915/skl_guc_49.0.1.bin","X86","X86","196288","69632","52","data","c5b0903b5ffaef323c37aa8bf2ed8c2be4ebb5c221e8b57b343d7df4e5b27086","5.550261"
"20201218","./i915/ehl_guc_49.0.1.bin","X86","X86","324160","106496","82","data","9e9ecdf4e4fe0fc7672bf63f7371dfca75663b7063bf2cb2183814fab10ef02c","5.506788"
"20201218","./i915/skl_huc_ver01_07_1398.bin","X86","X86","140992","61440","48","data","dd615b905eaafd77c66469a9355c10b2368d4c4d6bd62643de41116c4bf29457","6.043603"
"20201218","./i915/icl_dmc_ver1_09.bin","IA-64","IA-64","25952","1024","2","data","aafad1967679baa36e971e5331da73eea31c68239416432df83e71332755dc01","4.229952"
"20201218","./i915/glk_huc_4.0.0.bin","X86","X86","226048","51200","37","data","cb9c89eba34c4233601fe8194bf2acd75e11586bf17933963f3325084c57568e","5.248516"
"20201218","./iwlwifi-ty-a0-gf-a0-59.ucode","None","ARcompact","1413868","194560","149","data","7620861bcd60e5e89a2f0571b98e67f9451c52ce6c912b46c2f141b0005edd6c","5.119356"
"20201218","./i915/tgl_dmc_ver2_04.bin","IA-64","IA-64","18436","1536","3","data","638ca372cce8c637575e174a1677270a2394e39c22a8023fd769511583f3b27e","3.937547"
"20201218","./i915/skl_huc_2.0.0.bin","X86","X86","136320","53248","38","data","c7a1dce013050f823471de2cdc5f0170b1acf8c811ca8c8da41e35f526bcb1d7","6.034985"
"20201218","./i915/glk_guc_32.0.3.bin","X86","X86","176640","45056","34","data","74c3688eb152c13f604b6911893cfcfde6dfe04680bee77e37879988490559bd","5.727398"
"20201218","./i915/cml_guc_49.0.1.bin","X86","X86","197184","69632","52","data","8afbb2f0736867224718e4c9982e1fe470dc0f2981c0e1038c5e6492ea968813","5.552899"
"20201218","./i915/icl_huc_9.0.0.bin","X86","X86","498880","53248","38","data","d488084ad71772ed77708ee0930433e1aa96caea354aa40b80a9610291618880","4.668986"
"20201218","./i915/bxt_huc_2.0.0.bin","X86","X86","149824","53248","38","data","d68cae0933f5314781e67ac195e5db660fa6350c4030dbee094a724e84d5a9a1","6.070059"
"20201218","./netronome/flower/nic_AMDA0099.nffw","IA-64","IA-64","4314368","10240","5","ELF 64-bit LSB executable, *unknown arch 0x6000* version 1 (SYSV), no program header, not stripped","12089e15539653dcace3d3de76110e81a5b369779573951beb07018a577349bc","5.558535"
"20201218","./netronome/flower/nic_AMDA0096.nffw","IA-64","IA-64","4312000","14336","7","ELF 64-bit LSB executable, *unknown arch 0x6000* version 1 (SYSV), no program header, not stripped","1d574821a7b8f3b33cd098303484a9854b7b073a31a182f59905d097b2c269ba","5.559135"
"20201218","./i915/skl_dmc_ver1_27.bin","IA-64","IQ2000","8928","256","2","data","d3b6dc1a39bb2aeb37a1179f2b4e8145c24986da78c533571a5712dc91ec3f61","4.043827"
"20201218","./i915/skl_guc_ver6_1.bin","X86","X86","129024","77824","118","data","de066aabc442a0d7fd2ce45511ded6aec46aa701e0935209c7c610fe9ce30d22","5.935278"
"20201218","./i915/icl_guc_32.0.3.bin","X86","X86","380096","92160","69","data","403d63a5771ec77293a2aeab70b7ff3ab67791227cd64d9c18592c16fdcfa040","4.672285"
"20201218","./i915/cnl_dmc_ver1_07.bin","IA-64","IA-64","11268","1024","2","data","775a928e964fd8f9ab6b80eceaa4d10f93fe6789d55a1dff70deab8be2de4f20","4.083770"
"20201218","./netronome/flower/nic_AMDA0097.nffw","IA-64","IA-64","4312000","14336","7","ELF 64-bit LSB executable, *unknown arch 0x6000* version 1 (SYSV), no program header, not stripped","d5164ee1ef0570db9d67d422db3f1c45d806086d7e9f468647320a0a855a8992","5.559049"
"20201218","./i915/rkl_dmc_ver2_02.bin","IA-64","IA-64","18204","1024","2","data","0be8b8dedc47b20e03b7273db34aa1398b11e61111192217a505549db6c35d85","3.936061"
"20201218","./i915/dg1_dmc_ver2_02.bin","IA-64","IQ2000","16624","192","3","data","89576b82489737ae1b4cd057f471363a75baeb7590d76a15e17895ad38e6c09d","3.932839"
"20201218","./i915/ehl_guc_33.0.4.bin","X86","X86","396288","92160","69","data","ac3b3da53c7c1ada85e37e9a289d99f65f93a313748c572620dfc09b65fcaca0","4.748193"
"20201218","./i915/tgl_guc_49.0.1.bin","X86","X86","321792","98304","72","data","8c7c13672fcaaf6c16b415cd4cd1bc63e6362b618a6d6a32bf429ab702020f52","5.525509"
"20201218","./iwlwifi-8265-21.ucode","None","ARcompact","2389968","292864","323","data","2f9ac3e5cb788ec79e3164db8fff28cfce54bc73b1a3d3d63e37760fe726ae88","5.524428"
"20201218","./i915/skl_guc_32.0.3.bin","X86","X86","175552","45056","34","data","6339fce39731197589348aba1b250e04c9771bb44367b3aeacc8c0833f9949fe","5.722177"
"20201218","./i915/tgl_huc_7.0.12.bin","X86","X86","530368","53248","38","data","4961f142da9e36746d5163d64a5f0ce4854748acd0f69e343e82ee5eb930b9fe","4.751433"
"20201218","./i915/cnl_dmc_ver1_06.bin","IA-64","IA-64","11224","1024","2","data","e7319712724fed526474eb82702defbf80514212df433ec8f817a732832c5d88","4.093202"
"20201218","./i915/kbl_dmc_ver1_01.bin","IA-64","IQ2000","8616","256","2","data","fe489275b3ea09eeb1662bd1434a184a603a01dae18e31df8b61dc9f160fd562","3.989000"
"20201218","./i915/icl_guc_49.0.1.bin","X86","X86","324160","106496","82","data","8a60471918f4936197c1bcd43fc6991bc88cac3f84af4a2be8a35bb2c96bd50c","5.506794"
"20201218","./i915/glk_guc_33.0.0.bin","X86","X86","182336","47104","35","data","73b4fc7f4c167e55c170fb584451db9a5fed99b91ad14c0871e55470bd56767a","5.749912"
"20201218","./i915/kbl_guc_33.0.0.bin","X86","X86","182912","47104","35","data","669600b4e7fecadab03ab9bca24b756a62a78f938e98c9c7e878005e7d386854","5.747425"
"20201218","./i915/bxt_guc_33.0.0.bin","X86","X86","181888","47104","35","data","ef7dd0d13f6ee946f30b304cbd88108f9a4a939366ad90b34733f485704a22bb","5.749265"
"20201218","./i915/tgl_dmc_ver2_06.bin","IA-64","IA-64","18660","1536","3","data","a32f759f6e3afdc44a5f0da79cc21d6d57e02cab433fa2e4c5f0e5fe99733150","3.947920"
"20201218","./i915/skl_guc_ver1.bin","X86","X86","109636","78848","119","data","b03e1cd1181dd35d68f3fb4fa46983469b58cb8062b27b3e3792f39f58558a95","5.712970"
"20201218","./i915/kbl_guc_49.0.1.bin","X86","X86","197184","69632","52","data","e1b92a906643493f3448b5a4327f9b93691359a45662a0ce71fb12b5a880ca60","5.552782"
"20201218","./i915/kbl_dmc_ver1_04.bin","IA-64","IQ2000","8840","512","2","data","2cde41c3e5ad181423bcc3e98ff9c49f743c88f18646af4d0b3c3a9664b831a1","3.983420"
"20201218","./i915/bxt_guc_32.0.3.bin","X86","X86","176256","45056","34","data","5e34a1778c5547f593d7b71e931a17ef404bd5f6edc95e9ea071694843ca9503","5.724739"
"20201218","./i915/glk_guc_49.0.1.bin","X86","X86","196672","67584","51","data","387d77eab9e585f482c51a08fa1e47a19d103ac44798cb697ef0c97f2518e20c","5.558025"
"20201218","./i915/kbl_guc_32.0.3.bin","X86","X86","176448","45056","34","data","dc809e88c1fece4a656ca8fedb7de35ac2766c984927c1429e0cd6a221877ad6","5.724066"
"20201218","./i915/cml_huc_4.0.0.bin","X86","X86","226048","51200","37","data","fc351dc972f8953a480e28fb64c2f1cea43387e55e8c7307553a059f6ed8b287","5.251179"
"20201218","./i915/ehl_huc_9.0.0.bin","X86","X86","498880","53248","38","data","94e0df9fc94249b250806591a4d60ff395c7ab1b755246fb5eaf6ff2ffd7f774","4.668990"
"20201218","./i915/bxt_guc_ver8_7.bin","X86","X86","140928","118784","88","data","fad5b818ea0ea362c3fedd41720029a230e2f7e32adb60b233a5c51a8e955b06","5.933735"
"20201218","./i915/bxt_guc_49.0.1.bin","X86","X86","196224","67584","51","data","2c541854495a72e3e9185488169394b9e83eddba0d7b6368ba09bf67ed06a8fb","5.556492"
"20201218","./i915/skl_dmc_ver1_23.bin","IA-64","IQ2000","8824","256","2","data","eb81899cfec74e431838541901c8c5e3a35f7deba99866142c27ee8e87d9a0fb","4.018454"
"20201218","./netronome/flower/nic_AMDA0058.nffw","IA-64","IA-64","6683216","12288","6","ELF 64-bit LSB executable, *unknown arch 0x6000* version 1 (SYSV), no program header, not stripped","f02021ba49a2a8b00d593b49671d9e91ec91a92952e43edf2e2a4c5d9b5b67b1","5.543513"
"20201218","./i915/skl_guc_ver9_33.bin","X86","X86","147520","126976","98","data","eefea49eacfaa19bc23cb78256842b4ebf96077dbaff5f8e5ff4fbcfe8cb1568","5.934890"
"20201218","./i915/skl_dmc_ver1_26.bin","IA-64","IQ2000","8928","256","2","data","07909f7f34477d6645dd68f8a3e57ec12638e28cb586c9ea7b82daaadd1b88e8","4.028855"
"20201218","./i915/bxt_huc_ver01_07_1398.bin","X86","X86","154432","61440","48","data","bdaaaf045017da54772a96610bc80a72dd69dc0873bc3b5c5b6136cce05b8cd3","6.086030"
"20201218","./i915/kbl_guc_ver9_14.bin","X86","X86","142656","120832","89","data","92d51cab7b3570368516b50afaa99243e363792ede046a010d1f2cfec72faa88","5.940951"
"20201218","./i915/tgl_huc_7.5.0.bin","X86","X86","580736","57344","40","data","91aae270fbeb5e420115f7b8289d1aca28991dfaea8ae309ba46a19bddf3635d","5.159160"
"20201218","./LICENCE.mediatek","None","#6502#cc65","561","64","1","ASCII text","a90d3f66704d85889945fec5525ea77622549da83aced1aac99828383f8f1805","4.868736"
"20201218","./i915/bxt_guc_ver9_29.bin","X86","X86","146432","116736","87","data","7670e5ded85695afddca1ea87f4787632a6f81fdc6ebe033f92de377470089c8","5.947897"
"20201218","./i915/tgl_huc_7.0.3.bin","X86","X86","521408","55296","39","data","01d48f9c1441c2f015f16a649d81a3cfba26b340e03ec39d9c8df987a2158836","4.696155"
"20201218","./i915/icl_guc_33.0.0.bin","X86","X86","385280","153600","117","data","cd4cf2f2d7aeacc24e614317129acb9234f5ddd99daac84b7ab02e811fdd10fb","4.698072"
"20201218","./i915/skl_guc_ver4.bin","X86","X86","128320","84992","131","data","bd13afd6c907a38d975f4e8f96cd6dc46107d25b8add66a5752fbc0d9e3dc839","5.874655"
"20201218","./ttusb-budget/dspbootcode.bin","None","ARcompact","13104","128","2","data","29566ee6f8337fa7b3822d233735316124e4f6397ca528d61d3a3efa414fa4a5","6.077962"
"20201218","./i915/glk_huc_ver03_01_2893.bin","X86","X86","222080","53248","38","data","90c50a0e81b7d2cf0e5d502c29c75639433c71c7eb5389ef04a083c9c35843f4","5.233901"
"20201218","./i915/tgl_guc_35.2.0.bin","X86","X86","417728","131072","100","data","f1e6cae81244837aaba9cea7122a4ad267770596e99cebf9f1634800ea7d7333","4.833628"
"20201218","./i915/kbl_huc_4.0.0.bin","X86","X86","226048","51200","37","data","8bc643aa06a173c2969ac5946e9183544521048985d53e7148b85a898e85d10f","5.251207"
"20201218","./htc_9271.fw","XtensaEB","XtensaEB","50980","32768","50","data","b5c123f9a8f2b0388eddd630860c100b4fe889ccdb4fcf24bc88b0fe2df3e59e","5.830342"
"20201218","./slicoss/oasisrcvucode.sys","None","ARM64","2564","64","1","Atari DEGAS Elite bitmap 640 x 400 x 2, color palette 0000 4775 0100 04a0 1301 ...","66dbb20697d73d8e3cc6d7df25ca62c53a96ae1b254ec2a8f3be24ded7d7ad75","5.375735"
"20201218","./slicoss/gbrcvucode.sys","None","TMS320C6x","2564","64","1","Atari DEGAS Elite bitmap 640 x 400 x 2, color palette 0000 4775 0100 04a0 1301 ...","3672fbf0f9e52649e8cd45506c8c245346b378793741994b1913738f79486de2","5.441814"
"20201218","./dvb-fe-xc5000c-4.1.30.7.fw","None","6502","16497","64","1","data","2b9c512ab486386dc9ffe282ea6a77c5b9583466ca944bbed293690f5bf67531","6.994905"
