tag,filename,full,chunk,full_length,chunk_length,chunk_count,file_type,sha256
"20190416","./netronome/nic-sriov/nic_AMDA0097-0001_4x10_1x40.nffw","None","OCaml","5072120","20480","16","ELF 64-bit LSB relocatable, *unknown arch 0x6000* version 1 (SYSV), not stripped","ea2b5e80b59ad0b7fffef6141971367a2c64baed6bb55aa91e5b470487c3eb86"
"20190416","./netronome/nic-sriov/nic_AMDA0081-0001_1x40.nffw","None","OCaml","5204048","22528","17","ELF 64-bit LSB relocatable, *unknown arch 0x6000* version 1 (SYSV), not stripped","95fb31425ed62d98b0485800ff1a379a275cd4659b2e9d63382ae1809557cc23"
"20190416","./netronome/nic-sriov/nic_AMDA0058-0011_2x40.nffw","None","OCaml","4958776","16384","8","ELF 64-bit LSB relocatable, *unknown arch 0x6000* version 1 (SYSV), not stripped","8ade884f7ba0abe44bc95e42639c81ef3d177900b993004f715425ce91254fc0"
"20190416","./netronome/nic-sriov/nic_AMDA0096-0001_2x10.nffw","None","OCaml","4958016","20480","16","ELF 64-bit LSB relocatable, *unknown arch 0x6000* version 1 (SYSV), not stripped","b28957b6275ec1f1ea0665fdb86f40aba76a2456f25b43f221d59c617eff95e4"
"20190416","./netronome/nic-sriov/nic_AMDA0099-0001_2x25.nffw","None","OCaml","4958832","20480","16","ELF 64-bit LSB relocatable, *unknown arch 0x6000* version 1 (SYSV), not stripped","fe015df0630ea74166a56f7a4cb56960a2c2b16aa393ea407711835a734313c2"
"20190416","./netronome/nic-sriov/nic_AMDA0078-0011_1x100.nffw","None","OCaml","5203752","22528","17","ELF 64-bit LSB relocatable, *unknown arch 0x6000* version 1 (SYSV), not stripped","91c6e2d1a56907fb725b7bc1aec9e59dfd67645c969e37a3b152c5cbc347035a"
"20190416","./netronome/nic-sriov/nic_AMDA0099-0001_1x10_1x25.nffw","None","OCaml","4959328","20480","16","ELF 64-bit LSB relocatable, *unknown arch 0x6000* version 1 (SYSV), not stripped","96b990f67583ec6b742fc1d0bf777a32881332357387ca97b827cad35324d46a"
"20190416","./netronome/nic-sriov/nic_AMDA0097-0001_8x10.nffw","None","OCaml","5185472","16384","8","ELF 64-bit LSB relocatable, *unknown arch 0x6000* version 1 (SYSV), not stripped","39655bbde602074821ba2662929c41316b09de514847bfab3f1e9bdd601b2a35"
"20190416","./netronome/nic-sriov/nic_AMDA0058-0012_2x40.nffw","None","OCaml","4958776","16384","8","ELF 64-bit LSB relocatable, *unknown arch 0x6000* version 1 (SYSV), not stripped","51146a2a32ad510f33c3cd7f18bab02f8aeb65c6f37823a43f66eed1af3b3b53"
"20190416","./netronome/nic-sriov/nic_AMDA0081-0001_4x10.nffw","None","OCaml","5033952","20480","16","ELF 64-bit LSB relocatable, *unknown arch 0x6000* version 1 (SYSV), not stripped","eaf2e39185ae4a5db28026f44a977fe7d333045361917eeeacb9dcdf75f43eaa"
"20190416","./netronome/nic-sriov/nic_AMDA0099-0001_2x10.nffw","None","OCaml","4958000","20480","16","ELF 64-bit LSB relocatable, *unknown arch 0x6000* version 1 (SYSV), not stripped","189fe8437c7dc29e0561d3dedcb53954a317d2565cdbf525513e0191a2d10184"
"20190416","./ct2fw-3.2.1.1.bin","full(0xaba)","chunk(0x0;0)","0","0","0","cannot open `../git/linux-firmware/./ct2fw-3.2.1.1.bin' (No such file or directory)",""
"20190416","./imx/sdma/sdma-imx7d.bin","None","None","2862","0","0","data","aa9accf2b7fe3f281f5bc442e61c2999942ed03c8335784fe67d86fe8b4fa355"
"20190416","./i2400m-fw-usb-1.5.sbcf","full(0x757c)","chunk(0x6800;52)","0","0","0","cannot open `../git/linux-firmware/./i2400m-fw-usb-1.5.sbcf' (No such file or directory)",""
"20190416","./cxgb3/t3fw-7.10.0.bin","XtensaEB","XtensaEB","30932","27648","84","data","9a855d13f5c8a54766e431843d21ca9cb2e5f687f850619a9dd755b19b59baa8"
"20190416","./cxgb3/t3fw-7.1.0.bin","XtensaEB","XtensaEB","30136","26624","82","data","070220dad739a1998336d51251a28be6bf3e7178a4f500fc9cc7ccc33debc4e6"
"20190416","./cxgb3/ael2020_twx_edc.bin","None","None","1584","0","0","data","07a5cb5293754fe17f37b475b67ddaca0baf95dcff3ea443e79a08c4bffa1a38"
"20190416","./cxgb3/ael2005_twx_edc.bin","None","MN10300","1468","256","2","data","7fa2d1e6a45a835fe7f0d451964694a8712a4277672346a2e20daa67e92142d4"
"20190416","./cxgb3/t3fw-7.4.0.bin","XtensaEB","XtensaEB","30648","27136","83","data","9fa134d6a74e47f34de297f32e1947b10605256d1fc85a176a4a375890622a46"
"20190416","./cxgb3/t3fw-7.12.0.bin","XtensaEB","XtensaEB","31812","27648","84","data","481b261560d7f84a968669bc88160cb089098b6c6adc47755d239488266820a4"
"20190416","./cxgb3/ael2005_opt_edc.bin","None","MN10300","1088","192","3","data","18ae91ff9bff1df9242fedc52c48f7ad40acb452669bfe0580e5a8def344b321"
"20190416","./cxgb3/t3b_psram-1.1.0.bin","None","None","2564","0","0","data","6422f22364dd0946f96b5c13753d058090294d02e072f89bbe2f0a05c868fbcc"
"20190416","./cxgb3/t3c_psram-1.1.0.bin","None","None","2564","0","0","data","499fd317b355c9a7441099680d97795ada3c31322debd0727d9fb651d8145acf"
"20190416","./usbduxsigma_firmware.bin","None","8051","8192","1536","3","data","08fc58e82f496ecab775dc1ab2add382ed20778e20fe58acc0d32e32398fee6a"
"20190416","./rtlwifi/rtl8192cufw_TMSC.bin","8051","8051","16126","4096","8","data","c083f2db36ef33d0ffffc979aba1d40f55fa9dc38dce50f26e0108a21c080286"
"20190416","./rtlwifi/rtl8723aufw_B.bin","8051","8051","24118","6656","19","data","850374b96076ab4b854ee9dc42ef57f9bd6b24493b74ba6b609c690d17f1c552"
"20190416","./rtlwifi/rtl8192eefw.bin","full(0x59d4)","chunk(0x2e00;23)","0","32849","32849","cannot open `../git/linux-firmware/./rtlwifi/rtl8192eefw.bin' (No such file or directory)",""
"20190416","./rtlwifi/rtl8723bu_nic.bin","8051","8051","32108","7168","20","data","a52b5a7be4841b4b2839eddf5122b3300a3610866abe4bb3c3c9e444c8ab7969"
"20190416","./rtlwifi/rtl8192eu_ap_wowlan.bin","8051","8051","25264","16896","51","data","52ba57df842c97b38b8108e53577911efb9da29dc352499c149564a08827db60"
"20190416","./rtlwifi/rtl8723bs_wowlan.bin","full(0x436888)","chunk(0x2800;5)","0","0","0","cannot open `../git/linux-firmware/./rtlwifi/rtl8723bs_wowlan.bin' (No such file or directory)",""
"20190416","./rtlwifi/rtl8192eu_nic.bin","8051","8051","32286","9216","24","data","b15bc955fba2fc3abc093affe62c9f7284a0b84d4f13f8ce55366488dc9aad8b"
"20190416","./rtlwifi/rtl8821aefw.bin","8051","8051","28984","21504","66","data","025c13f2e7f7526e1f932049bed2146467318f547ffa8481804ecfd911cda695"
